OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
2B24D,"Psort location Cytoplasmic, score",0.11298482293423227,0.005089058524173028,0.07300301454386467,0.0033137906614669425,-4.100555968154081,-0.10776944977236547,4.960147343768653e-21,4.991314044992868e-20,True,Gut
COG0326,Hsp90 protein,0.7293423271500757,0.44402035623409514,0.4265203793631883,0.33068803358578464,-0.3661662286116854,-0.20575581744611648,5.671355472899341e-21,5.699371514621273e-20,True,Gut
COG0086,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,0.8505480607082364,0.8778625954198402,0.5495536037983113,0.7748285232935324,0.4948547810544306,0.20851489386352218,5.897093224804137e-21,5.918322760413432e-20,True,Vaginal
COG0728,Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane,0.37584317032041625,0.496183206106868,0.240574071857109,0.47145639794567024,0.9677155735156622,0.18365021948173998,6.990143120582244e-21,7.00466233942589e-20,True,Vaginal
COG0462,Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P),0.8897554806070501,0.876590330788797,0.5628747927402457,0.7617490152908104,0.4358335616226528,0.20828908298254878,6.998148105816752e-21,7.00466233942589e-20,True,Vaginal
COG1236,Metallo-beta-lactamase domain protein,0.29616357504216095,0.1259541984732823,0.18189137906219854,0.0909616886764701,-0.9918822091070955,-0.16331061278958503,7.124063951588875e-21,7.121225679098202e-20,True,Gut
COG4858,Protein of unknown function (DUF1129),0.0489038785834741,0.1335877862595419,0.03193481283299843,0.1021998336341698,1.6477553885394964,0.0863469163137367,7.551733277059243e-21,7.53871304727121e-20,True,Vaginal
COG0060,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)",0.9378161888701121,0.9236641221373969,0.581744754235507,0.8002464596223103,0.459381964542236,0.2082257915717296,7.564550725364094e-21,7.541506398651065e-20,True,Vaginal
COG2731,Domain of unknown function (DUF386),0.4289629005059198,0.2417302798982197,0.29402334250506584,0.16813369094222785,-0.8026650372293769,-0.18468701860982029,7.584831223481932e-21,7.551722833220701e-20,True,Gut
COG0260,Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides,0.18739460370994768,0.32188295165394404,0.1105528195100882,0.24761263081611296,1.1561726163495614,0.14716298932842453,8.29414317703359e-21,8.247029814204998e-20,True,Vaginal
